PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=499 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=565 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=556 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=625 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=380 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=303 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=0.433 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=0.582 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=1.11 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=4.66 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=0.645 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=0.522 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=0.446 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=2.54 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=0.864 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=0.507 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=0.577 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=0.623 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=0.521 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=0.343 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=0.365 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=0.556 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=0.378 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=0.709 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=0.856 ms
