PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=0.464 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=0.502 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=0.292 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=0.520 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=0.600 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=0.887 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=0.320 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=3.81 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=0.446 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=1.44 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=0.916 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=0.540 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=0.426 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=3.75 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=0.761 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=0.517 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=0.459 ms
